timestamp_America_Phoenix,gpu_temp_c,sm_clock,memory_clock,power,utilization,sw_thermal_slowdown,hw_thermal_slowdown,sw_power_cap
2026/09/07 23:49:49.598,78,2392 MHz,[N/A],75.94 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:49:54.599,79,2379 MHz,[N/A],76.39 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:49:59.600,73,2418 MHz,[N/A],50.30 W,95 %,Not Active,Not Active,Not Active
2026/09/07 23:50:04.601,73,2424 MHz,[N/A],49.81 W,95 %,Not Active,Not Active,Not Active
2026/09/07 23:50:09.603,74,2385 MHz,[N/A],74.01 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:50:14.604,77,2392 MHz,[N/A],59.11 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:50:19.606,75,2385 MHz,[N/A],75.39 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:50:24.606,71,2418 MHz,[N/A],54.06 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:50:29.607,70,2424 MHz,[N/A],35.84 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:50:34.608,72,2431 MHz,[N/A],40.22 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:50:39.609,73,2418 MHz,[N/A],49.16 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:50:44.610,72,2431 MHz,[N/A],46.70 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:50:49.611,65,2405 MHz,[N/A],17.88 W,70 %,Not Active,Not Active,Not Active
2026/09/07 23:50:54.612,77,2392 MHz,[N/A],75.35 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:50:59.613,77,2405 MHz,[N/A],72.97 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:51:04.614,78,2379 MHz,[N/A],75.76 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:51:09.615,78,2392 MHz,[N/A],76.41 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:51:14.616,74,2418 MHz,[N/A],56.44 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:51:19.617,75,2418 MHz,[N/A],56.74 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:51:24.618,75,2418 MHz,[N/A],50.94 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:51:34.620,74,2385 MHz,[N/A],75.99 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:51:39.621,78,2372 MHz,[N/A],76.95 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:51:44.622,77,2385 MHz,[N/A],76.58 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:51:49.623,79,2379 MHz,[N/A],77.40 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:51:54.625,79,2405 MHz,[N/A],74.40 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:51:59.626,83,2379 MHz,[N/A],75.83 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:52:04.627,82,2379 MHz,[N/A],77.04 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:52:09.628,84,2385 MHz,[N/A],77.03 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:52:14.629,77,2418 MHz,[N/A],56.92 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:52:19.630,76,2418 MHz,[N/A],56.70 W,95 %,Not Active,Not Active,Not Active
2026/09/07 23:52:24.631,75,2418 MHz,[N/A],52.73 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:52:34.632,77,2392 MHz,[N/A],76.71 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:52:39.632,73,2392 MHz,[N/A],75.26 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:52:44.633,76,2398 MHz,[N/A],73.60 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:52:49.634,75,2392 MHz,[N/A],71.58 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:52:54.634,77,2385 MHz,[N/A],75.85 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:52:59.635,77,2379 MHz,[N/A],75.72 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:53:04.635,80,2385 MHz,[N/A],75.97 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:53:09.636,77,2385 MHz,[N/A],75.01 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:53:14.637,75,2418 MHz,[N/A],58.94 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:53:19.638,75,2418 MHz,[N/A],59.74 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:53:24.638,75,2418 MHz,[N/A],59.96 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:53:29.639,73,2418 MHz,[N/A],56.20 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:53:34.641,73,2418 MHz,[N/A],54.83 W,95 %,Not Active,Not Active,Not Active
2026/09/07 23:57:09.683,65,2418 MHz,[N/A],71.72 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:57:14.685,68,2398 MHz,[N/A],72.68 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:57:19.686,63,2437 MHz,[N/A],45.84 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:57:24.687,63,2437 MHz,[N/A],47.90 W,95 %,Not Active,Not Active,Not Active
2026/09/07 23:57:34.689,69,2405 MHz,[N/A],74.12 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:57:39.690,73,2392 MHz,[N/A],74.57 W,96 %,Not Active,Not Active,Not Active
