timestamp_America_Phoenix,gpu_temp_c,sm_clock,memory_clock,power,utilization,sw_thermal_slowdown,hw_thermal_slowdown,sw_power_cap
2026/09/07 23:49:47.288,72,2476 MHz,[N/A],72.65 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:49:52.290,78,2470 MHz,[N/A],74.25 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:49:57.291,72,2496 MHz,[N/A],48.71 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:50:02.292,70,2496 MHz,[N/A],48.95 W,95 %,Not Active,Not Active,Not Active
2026/09/07 23:50:12.294,69,2489 MHz,[N/A],65.65 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:50:17.295,78,2457 MHz,[N/A],72.69 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:50:22.296,73,2476 MHz,[N/A],64.65 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:50:27.297,70,2509 MHz,[N/A],54.19 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:50:32.298,77,2476 MHz,[N/A],65.20 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:50:37.299,72,2496 MHz,[N/A],48.59 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:50:42.301,70,2509 MHz,[N/A],45.45 W,95 %,Not Active,Not Active,Not Active
2026/09/07 23:50:52.302,71,2509 MHz,[N/A],62.56 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:50:57.303,73,2463 MHz,[N/A],73.73 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:51:02.304,74,2470 MHz,[N/A],75.81 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:51:07.305,76,2463 MHz,[N/A],72.67 W,94 %,Not Active,Not Active,Not Active
2026/09/07 23:51:12.306,74,2496 MHz,[N/A],54.50 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:51:17.307,73,2496 MHz,[N/A],54.54 W,95 %,Not Active,Not Active,Not Active
2026/09/07 23:51:22.308,73,2496 MHz,[N/A],54.85 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:51:27.309,72,2515 MHz,[N/A],49.13 W,95 %,Not Active,Not Active,Not Active
2026/09/07 23:51:32.310,63,2405 MHz,[N/A],13.60 W,0 %,Not Active,Not Active,Not Active
2026/09/07 23:51:37.310,71,2483 MHz,[N/A],69.09 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:51:42.312,77,2476 MHz,[N/A],69.38 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:51:47.313,78,2470 MHz,[N/A],74.44 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:51:52.314,75,2463 MHz,[N/A],74.46 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:51:57.315,80,2470 MHz,[N/A],74.87 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:52:02.315,73,2470 MHz,[N/A],71.94 W,95 %,Not Active,Not Active,Not Active
2026/09/07 23:52:07.316,74,2470 MHz,[N/A],69.81 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:52:12.317,72,2496 MHz,[N/A],62.76 W,95 %,Not Active,Not Active,Not Active
2026/09/07 23:52:17.318,73,2496 MHz,[N/A],54.80 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:52:22.319,73,2496 MHz,[N/A],54.52 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:52:32.322,69,2476 MHz,[N/A],63.18 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:52:37.323,71,2457 MHz,[N/A],72.61 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:52:42.324,73,2470 MHz,[N/A],74.99 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:52:47.326,74,2470 MHz,[N/A],75.09 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:52:52.327,80,2470 MHz,[N/A],73.93 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:52:57.328,76,2489 MHz,[N/A],71.09 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:53:02.329,78,2457 MHz,[N/A],71.92 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:53:07.330,76,2457 MHz,[N/A],74.96 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:53:12.330,77,2496 MHz,[N/A],58.29 W,95 %,Not Active,Not Active,Not Active
2026/09/07 23:53:17.331,76,2496 MHz,[N/A],58.73 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:53:22.332,76,2496 MHz,[N/A],58.95 W,95 %,Not Active,Not Active,Not Active
2026/09/07 23:53:27.333,75,2496 MHz,[N/A],58.91 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:53:32.334,74,2496 MHz,[N/A],57.32 W,95 %,Not Active,Not Active,Not Active
2026/09/07 23:57:07.386,61,2502 MHz,[N/A],55.66 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:57:12.387,64,2489 MHz,[N/A],70.75 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:57:17.388,62,2535 MHz,[N/A],46.51 W,95 %,Not Active,Not Active,Not Active
2026/09/07 23:57:22.388,63,2522 MHz,[N/A],46.18 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:57:27.389,62,2522 MHz,[N/A],45.98 W,95 %,Not Active,Not Active,Not Active
2026/09/07 23:57:32.390,65,2496 MHz,[N/A],68.07 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:57:37.391,68,2470 MHz,[N/A],71.45 W,96 %,Not Active,Not Active,Not Active
