timestamp_America_Phoenix,gpu_temp_c,sm_clock,memory_clock,power,utilization,sw_thermal_slowdown,hw_thermal_slowdown,sw_power_cap
2026/09/07 22:47:38.981,72,2392 MHz,[N/A],62.43 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:47:43.982,80,2392 MHz,[N/A],63.18 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:47:48.983,80,2379 MHz,[N/A],70.33 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:47:53.984,74,2418 MHz,[N/A],50.67 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:47:58.985,73,2418 MHz,[N/A],49.90 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:48:08.987,76,2398 MHz,[N/A],73.90 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:48:13.988,75,2385 MHz,[N/A],72.93 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:48:18.988,80,2385 MHz,[N/A],72.86 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:48:23.989,81,2372 MHz,[N/A],69.07 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:48:28.990,76,2418 MHz,[N/A],52.62 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:48:33.990,75,2418 MHz,[N/A],51.83 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:48:38.991,75,2418 MHz,[N/A],51.25 W,95 %,Not Active,Not Active,Not Active
2026/09/07 22:48:43.992,75,2385 MHz,[N/A],55.84 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:48:48.993,78,2372 MHz,[N/A],62.08 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:48:53.994,80,2392 MHz,[N/A],62.33 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:48:58.994,76,2411 MHz,[N/A],63.80 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:49:03.995,80,2411 MHz,[N/A],66.84 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:49:08.996,77,2418 MHz,[N/A],56.74 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:49:13.996,77,2418 MHz,[N/A],57.05 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:49:18.998,77,2418 MHz,[N/A],57.12 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:49:29.000,79,2405 MHz,[N/A],39.38 W,0 %,Not Active,Not Active,Not Active
2026/09/07 22:49:34.001,78,2418 MHz,[N/A],63.35 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:49:39.002,76,2411 MHz,[N/A],63.18 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:49:44.002,79,2418 MHz,[N/A],64.84 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:49:49.004,83,2418 MHz,[N/A],63.59 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:49:54.005,80,2418 MHz,[N/A],64.95 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:49:59.006,78,2418 MHz,[N/A],63.18 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:50:04.007,78,2372 MHz,[N/A],74.21 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:50:09.009,83,2372 MHz,[N/A],73.82 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:50:14.010,80,2379 MHz,[N/A],72.56 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:50:19.010,76,2418 MHz,[N/A],56.05 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:50:24.011,76,2418 MHz,[N/A],55.61 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:50:29.012,74,2418 MHz,[N/A],50.17 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:50:39.014,73,2398 MHz,[N/A],56.37 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:50:44.015,73,2385 MHz,[N/A],69.18 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:50:49.016,78,2385 MHz,[N/A],69.90 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:50:54.018,80,2385 MHz,[N/A],71.18 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:50:59.019,75,2392 MHz,[N/A],69.64 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:51:04.020,81,2392 MHz,[N/A],64.47 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:51:09.020,74,2385 MHz,[N/A],65.50 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:51:14.022,81,2379 MHz,[N/A],74.90 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:51:19.023,79,2379 MHz,[N/A],73.51 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:51:24.024,80,2379 MHz,[N/A],72.30 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:51:29.025,78,2418 MHz,[N/A],60.16 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:51:34.026,78,2418 MHz,[N/A],61.60 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:51:39.026,79,2418 MHz,[N/A],61.54 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:51:44.027,77,2418 MHz,[N/A],60.20 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:51:49.028,76,2411 MHz,[N/A],41.25 W,96 %,Not Active,Not Active,Not Active
