timestamp_America_Phoenix,gpu_temp_c,sm_clock,memory_clock,power,utilization,sw_thermal_slowdown,hw_thermal_slowdown,sw_power_cap
2026/09/07 22:47:41.555,75,2470 MHz,[N/A],72.29 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:47:46.556,75,2457 MHz,[N/A],71.32 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:47:51.557,73,2496 MHz,[N/A],49.04 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:47:56.558,73,2496 MHz,[N/A],48.98 W,95 %,Not Active,Not Active,Not Active
2026/09/07 22:48:01.559,73,2496 MHz,[N/A],48.40 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:48:06.560,73,2470 MHz,[N/A],68.38 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:48:11.561,75,2457 MHz,[N/A],69.44 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:48:16.562,75,2470 MHz,[N/A],68.90 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:48:21.563,76,2463 MHz,[N/A],70.13 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:48:26.564,80,2463 MHz,[N/A],73.53 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:48:31.565,74,2496 MHz,[N/A],49.97 W,95 %,Not Active,Not Active,Not Active
2026/09/07 22:48:36.566,74,2496 MHz,[N/A],49.15 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:48:46.568,80,2470 MHz,[N/A],72.77 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:48:51.569,79,2463 MHz,[N/A],71.91 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:48:56.570,79,2463 MHz,[N/A],63.08 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:49:01.571,80,2457 MHz,[N/A],72.34 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:49:06.571,75,2457 MHz,[N/A],69.68 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:49:11.573,76,2496 MHz,[N/A],55.31 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:49:16.573,76,2496 MHz,[N/A],55.31 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:49:21.574,76,2496 MHz,[N/A],55.53 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:49:31.576,79,2470 MHz,[N/A],71.64 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:49:36.577,79,2457 MHz,[N/A],69.99 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:49:41.578,76,2457 MHz,[N/A],71.11 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:49:46.578,77,2450 MHz,[N/A],71.10 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:49:51.579,79,2457 MHz,[N/A],72.49 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:49:56.580,81,2457 MHz,[N/A],71.11 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:50:01.580,78,2457 MHz,[N/A],59.94 W,96 %,Active,Not Active,Not Active
2026/09/07 22:50:06.581,78,2450 MHz,[N/A],69.80 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:50:11.582,75,2457 MHz,[N/A],70.42 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:50:16.583,76,2496 MHz,[N/A],55.20 W,95 %,Not Active,Not Active,Not Active
2026/09/07 22:50:21.584,75,2496 MHz,[N/A],55.22 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:50:26.585,74,2496 MHz,[N/A],55.16 W,95 %,Not Active,Not Active,Not Active
2026/09/07 22:50:41.588,72,2470 MHz,[N/A],70.72 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:50:46.589,73,2470 MHz,[N/A],69.52 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:50:51.591,73,2470 MHz,[N/A],71.65 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:50:56.591,73,2463 MHz,[N/A],69.52 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:51:01.592,76,2470 MHz,[N/A],69.74 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:51:06.593,73,2489 MHz,[N/A],54.79 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:51:11.593,81,2457 MHz,[N/A],70.47 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:51:16.594,82,2463 MHz,[N/A],71.52 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:51:21.595,81,2457 MHz,[N/A],69.52 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:51:26.596,77,2496 MHz,[N/A],63.43 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:51:31.597,76,2496 MHz,[N/A],59.51 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:51:36.598,76,2496 MHz,[N/A],59.26 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:51:41.598,76,2496 MHz,[N/A],59.73 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:51:46.599,75,2496 MHz,[N/A],54.77 W,95 %,Not Active,Not Active,Not Active
