timestamp_America_Phoenix,gpu_temp_c,sm_clock,memory_clock,power,utilization,sw_thermal_slowdown,hw_thermal_slowdown,sw_power_cap
2026/09/08 00:18:09.885,71,2405 MHz,[N/A],67.77 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:18:14.886,73,2398 MHz,[N/A],70.91 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:18:19.887,67,2437 MHz,[N/A],38.77 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:18:24.888,66,2437 MHz,[N/A],39.11 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:18:29.889,66,2437 MHz,[N/A],38.88 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:18:34.890,65,2437 MHz,[N/A],38.71 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:18:39.891,69,2411 MHz,[N/A],66.99 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:18:44.892,72,2398 MHz,[N/A],70.61 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:18:49.893,72,2392 MHz,[N/A],71.38 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:18:54.894,74,2392 MHz,[N/A],72.10 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:18:59.894,69,2437 MHz,[N/A],39.26 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:19:04.895,68,2437 MHz,[N/A],39.42 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:19:14.897,73,2405 MHz,[N/A],68.47 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:19:19.899,73,2398 MHz,[N/A],70.11 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:19:24.900,74,2405 MHz,[N/A],69.65 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:19:29.902,75,2398 MHz,[N/A],69.06 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:19:34.902,76,2398 MHz,[N/A],70.27 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:19:39.903,70,2431 MHz,[N/A],41.49 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:19:44.904,70,2431 MHz,[N/A],41.47 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:19:49.905,69,2437 MHz,[N/A],39.73 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:19:59.907,74,2392 MHz,[N/A],71.14 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:20:04.908,76,2398 MHz,[N/A],70.25 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:20:09.909,76,2398 MHz,[N/A],71.50 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:20:14.911,77,2398 MHz,[N/A],72.06 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:20:19.911,79,2392 MHz,[N/A],71.30 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:21:16.140,76,2398 MHz,[N/A],69.42 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:21:21.162,78,2398 MHz,[N/A],70.41 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:21:26.163,77,2398 MHz,[N/A],68.95 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:21:31.164,79,2392 MHz,[N/A],69.83 W,94 %,Not Active,Not Active,Not Active
2026/09/08 00:21:36.165,78,2398 MHz,[N/A],69.40 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:21:41.166,79,2385 MHz,[N/A],71.21 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:21:46.166,81,2385 MHz,[N/A],71.20 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:21:51.167,75,2418 MHz,[N/A],45.17 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:21:56.169,74,2418 MHz,[N/A],45.13 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:22:01.170,74,2418 MHz,[N/A],44.53 W,96 %,Not Active,Not Active,Not Active
