timestamp_America_Phoenix,gpu_temp_c,sm_clock,memory_clock,power,utilization,sw_thermal_slowdown,hw_thermal_slowdown,sw_power_cap
2026/09/08 00:18:07.606,65,2405 MHz,[N/A],13.89 W,0 %,Not Active,Not Active,Not Active
2026/09/08 00:18:12.608,75,2476 MHz,[N/A],70.20 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:18:17.609,75,2476 MHz,[N/A],67.60 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:18:22.609,70,2515 MHz,[N/A],38.36 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:18:27.610,70,2515 MHz,[N/A],38.31 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:18:32.611,69,2515 MHz,[N/A],38.77 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:18:42.614,75,2476 MHz,[N/A],69.85 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:18:47.614,75,2476 MHz,[N/A],70.91 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:18:52.615,77,2476 MHz,[N/A],71.95 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:18:57.616,77,2470 MHz,[N/A],72.46 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:19:02.616,71,2496 MHz,[N/A],39.32 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:19:07.617,71,2515 MHz,[N/A],39.31 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:19:17.618,74,2476 MHz,[N/A],69.40 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:19:22.619,77,2476 MHz,[N/A],70.74 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:19:27.620,76,2476 MHz,[N/A],69.08 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:19:32.621,75,2476 MHz,[N/A],69.24 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:19:37.622,73,2489 MHz,[N/A],40.90 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:19:42.623,72,2502 MHz,[N/A],40.56 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:19:47.624,72,2502 MHz,[N/A],40.56 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:19:57.626,72,2476 MHz,[N/A],67.49 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:20:02.627,76,2476 MHz,[N/A],70.45 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:20:07.627,78,2476 MHz,[N/A],70.53 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:20:12.628,79,2476 MHz,[N/A],70.56 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:20:17.629,76,2483 MHz,[N/A],69.33 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:20:22.629,79,2476 MHz,[N/A],69.41 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:21:16.492,75,2476 MHz,[N/A],67.86 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:21:21.512,76,2476 MHz,[N/A],68.91 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:21:26.513,76,2476 MHz,[N/A],67.94 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:21:31.514,76,2476 MHz,[N/A],68.64 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:21:36.514,76,2476 MHz,[N/A],65.34 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:21:41.515,78,2476 MHz,[N/A],68.85 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:21:46.515,76,2476 MHz,[N/A],69.35 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:21:51.516,73,2476 MHz,[N/A],42.11 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:21:56.518,72,2496 MHz,[N/A],42.31 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:22:01.518,71,2502 MHz,[N/A],40.85 W,96 %,Not Active,Not Active,Not Active
