timestamp_America_Phoenix,gpu_temp_c,sm_clock,memory_clock,power,utilization,sw_thermal_slowdown,hw_thermal_slowdown,sw_power_cap
2026/09/08 00:37:36.341,71,2424 MHz,[N/A],62.71 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:37:41.342,71,2411 MHz,[N/A],59.47 W,60 %,Not Active,Not Active,Not Active
2026/09/08 00:37:46.342,69,2437 MHz,[N/A],43.39 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:37:51.344,69,2437 MHz,[N/A],42.90 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:37:56.345,71,2424 MHz,[N/A],61.22 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:38:01.347,72,2411 MHz,[N/A],62.80 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:38:06.347,73,2405 MHz,[N/A],63.38 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:38:11.348,70,2424 MHz,[N/A],57.40 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:38:16.349,70,2437 MHz,[N/A],44.37 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:38:21.350,69,2437 MHz,[N/A],43.97 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:38:26.351,63,2405 MHz,[N/A],15.76 W,0 %,Not Active,Not Active,Not Active
2026/09/08 00:38:31.352,72,2411 MHz,[N/A],61.90 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:38:36.353,73,2411 MHz,[N/A],60.41 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:38:41.354,76,2411 MHz,[N/A],62.00 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:38:46.356,72,2418 MHz,[N/A],47.00 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:38:51.356,71,2437 MHz,[N/A],46.99 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:38:56.357,71,2437 MHz,[N/A],47.49 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:39:06.359,71,2418 MHz,[N/A],61.59 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:39:11.360,73,2411 MHz,[N/A],62.98 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:39:16.361,74,2405 MHz,[N/A],63.62 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:39:21.362,75,2411 MHz,[N/A],61.26 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:39:26.363,75,2411 MHz,[N/A],62.57 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:39:31.364,78,2411 MHz,[N/A],62.72 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:39:36.365,76,2411 MHz,[N/A],63.09 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:39:41.366,73,2418 MHz,[N/A],47.52 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:39:46.368,73,2418 MHz,[N/A],47.52 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:39:51.369,72,2418 MHz,[N/A],47.05 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:40:01.371,72,2418 MHz,[N/A],27.86 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:40:06.372,74,2411 MHz,[N/A],62.43 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:40:11.373,77,2411 MHz,[N/A],60.71 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:40:16.374,75,2405 MHz,[N/A],62.70 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:40:21.376,75,2411 MHz,[N/A],62.08 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:40:26.377,78,2411 MHz,[N/A],62.78 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:40:31.378,76,2411 MHz,[N/A],62.18 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:40:36.379,78,2411 MHz,[N/A],62.37 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:40:41.380,74,2418 MHz,[N/A],50.23 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:40:46.381,74,2418 MHz,[N/A],49.94 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:40:51.382,74,2418 MHz,[N/A],50.28 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:40:56.384,74,2418 MHz,[N/A],48.15 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:41:46.398,66,2431 MHz,[N/A],60.27 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:41:51.399,67,2424 MHz,[N/A],61.13 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:41:56.400,65,2437 MHz,[N/A],42.94 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:42:01.401,66,2437 MHz,[N/A],43.15 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:42:06.402,60,2411 MHz,[N/A],14.69 W,0 %,Not Active,Not Active,Not Active
2026/09/08 00:42:11.403,69,2431 MHz,[N/A],61.22 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:42:16.404,70,2418 MHz,[N/A],62.56 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:42:21.405,71,2411 MHz,[N/A],60.70 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:42:26.407,69,2437 MHz,[N/A],43.84 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:42:31.408,69,2437 MHz,[N/A],43.47 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:42:36.409,70,2424 MHz,[N/A],38.34 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:42:41.410,74,2418 MHz,[N/A],62.55 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:42:46.410,75,2411 MHz,[N/A],61.05 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:42:51.412,76,2411 MHz,[N/A],62.21 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:42:56.412,71,2437 MHz,[N/A],47.06 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:43:01.414,72,2437 MHz,[N/A],47.19 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:43:06.415,71,2437 MHz,[N/A],47.45 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:43:16.417,73,2424 MHz,[N/A],59.45 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:43:21.417,73,2411 MHz,[N/A],62.64 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:43:26.418,76,2405 MHz,[N/A],63.56 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:43:31.419,75,2411 MHz,[N/A],63.70 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:43:36.420,75,2411 MHz,[N/A],62.22 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:43:41.421,75,2405 MHz,[N/A],63.01 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:43:46.422,76,2411 MHz,[N/A],63.31 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:43:51.422,74,2418 MHz,[N/A],48.56 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:43:56.424,74,2418 MHz,[N/A],47.91 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:44:01.425,73,2418 MHz,[N/A],47.57 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:44:06.426,73,2418 MHz,[N/A],44.65 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:44:16.428,73,2411 MHz,[N/A],62.50 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:44:21.429,75,2405 MHz,[N/A],63.07 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:44:26.431,75,2411 MHz,[N/A],62.90 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:44:31.432,75,2405 MHz,[N/A],62.68 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:44:36.433,76,2411 MHz,[N/A],62.76 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:44:41.434,76,2411 MHz,[N/A],62.59 W,94 %,Not Active,Not Active,Not Active
2026/09/08 00:44:46.434,76,2411 MHz,[N/A],62.69 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:44:51.435,76,2418 MHz,[N/A],61.04 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:44:56.436,75,2418 MHz,[N/A],50.53 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:45:01.437,75,2418 MHz,[N/A],50.60 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:45:06.439,75,2418 MHz,[N/A],50.69 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:45:16.442,76,2411 MHz,[N/A],63.97 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:45:21.443,77,2411 MHz,[N/A],64.35 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:45:26.444,73,2418 MHz,[N/A],45.26 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:45:31.445,73,2418 MHz,[N/A],45.56 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:45:36.447,67,2405 MHz,[N/A],16.59 W,0 %,Not Active,Not Active,Not Active
2026/09/08 00:45:41.448,78,2411 MHz,[N/A],63.19 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:45:46.448,77,2411 MHz,[N/A],64.38 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:45:51.449,78,2411 MHz,[N/A],65.03 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:45:56.451,74,2418 MHz,[N/A],45.05 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:46:01.452,74,2418 MHz,[N/A],44.84 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:46:06.453,73,2418 MHz,[N/A],45.16 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:46:11.454,72,2411 MHz,[N/A],60.21 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:46:16.455,76,2405 MHz,[N/A],63.58 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:46:21.456,77,2411 MHz,[N/A],63.19 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:46:26.457,79,2411 MHz,[N/A],63.54 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:46:31.458,75,2418 MHz,[N/A],47.93 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:46:36.459,74,2418 MHz,[N/A],48.19 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:46:41.459,75,2418 MHz,[N/A],48.16 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:46:46.460,74,2418 MHz,[N/A],45.16 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:46:51.461,72,2418 MHz,[N/A],21.13 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:46:56.462,76,2411 MHz,[N/A],62.83 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:47:01.464,76,2411 MHz,[N/A],63.64 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:47:06.465,76,2405 MHz,[N/A],64.66 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:47:11.466,78,2405 MHz,[N/A],63.44 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:47:16.467,77,2411 MHz,[N/A],63.53 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:47:21.469,77,2405 MHz,[N/A],63.77 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:47:26.470,79,2405 MHz,[N/A],63.40 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:47:31.471,76,2418 MHz,[N/A],48.17 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:47:36.471,75,2418 MHz,[N/A],48.15 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:47:41.473,74,2418 MHz,[N/A],45.31 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:47:51.474,75,2411 MHz,[N/A],62.12 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:47:56.475,77,2405 MHz,[N/A],63.46 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:48:01.476,77,2411 MHz,[N/A],62.40 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:48:06.477,76,2405 MHz,[N/A],61.72 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:48:11.478,78,2411 MHz,[N/A],62.90 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:48:16.479,78,2411 MHz,[N/A],61.25 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:48:21.480,78,2411 MHz,[N/A],63.64 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:48:26.481,77,2418 MHz,[N/A],51.15 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:48:31.482,76,2418 MHz,[N/A],51.17 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:48:36.483,76,2418 MHz,[N/A],51.28 W,96 %,Not Active,Not Active,Not Active
