timestamp_America_Phoenix,gpu_temp_c,sm_clock,memory_clock,power,utilization,sw_thermal_slowdown,hw_thermal_slowdown,sw_power_cap
2026/09/08 00:37:36.697,72,2489 MHz,[N/A],61.27 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:37:41.698,71,2502 MHz,[N/A],54.56 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:37:46.700,70,2522 MHz,[N/A],43.06 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:37:56.701,72,2496 MHz,[N/A],60.57 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:38:01.702,72,2489 MHz,[N/A],62.01 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:38:06.703,74,2489 MHz,[N/A],62.88 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:38:11.705,71,2522 MHz,[N/A],49.07 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:38:16.705,70,2522 MHz,[N/A],43.84 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:38:21.707,71,2522 MHz,[N/A],43.63 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:38:26.708,70,2509 MHz,[N/A],30.50 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:38:31.710,73,2489 MHz,[N/A],61.29 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:38:36.711,74,2489 MHz,[N/A],60.50 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:38:41.713,74,2489 MHz,[N/A],61.07 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:38:46.714,72,2496 MHz,[N/A],46.52 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:38:51.715,72,2522 MHz,[N/A],46.59 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:38:56.716,72,2522 MHz,[N/A],46.71 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:39:06.719,73,2489 MHz,[N/A],60.99 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:39:11.719,75,2489 MHz,[N/A],62.10 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:39:16.720,75,2489 MHz,[N/A],62.68 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:39:21.721,76,2489 MHz,[N/A],61.44 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:39:26.722,76,2489 MHz,[N/A],61.57 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:39:31.724,76,2489 MHz,[N/A],62.07 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:39:36.725,76,2483 MHz,[N/A],62.76 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:39:41.725,74,2496 MHz,[N/A],46.92 W,96 %,Not Active,Not Active,Not Active
