timestamp_America_Phoenix,gpu_temp_c,sm_clock,memory_clock,power,utilization,sw_thermal_slowdown,hw_thermal_slowdown,sw_power_cap
2026/09/07 19:20:14.124,77,2385 MHz,[N/A],74.74 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:20:19.125,77,2379 MHz,[N/A],76.54 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:20:24.126,74,2418 MHz,[N/A],53.51 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:20:29.127,72,2418 MHz,[N/A],47.93 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:20:34.128,73,2418 MHz,[N/A],50.38 W,95 %,Not Active,Not Active,Not Active
2026/09/07 19:20:39.128,66,2405 MHz,[N/A],16.20 W,0 %,Not Active,Not Active,Not Active
2026/09/07 19:20:44.130,76,2379 MHz,[N/A],76.49 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:20:49.131,80,2379 MHz,[N/A],71.67 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:20:54.132,79,2372 MHz,[N/A],72.35 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:20:59.133,79,2379 MHz,[N/A],76.32 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:21:04.134,75,2418 MHz,[N/A],49.60 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:21:09.135,75,2418 MHz,[N/A],49.67 W,95 %,Not Active,Not Active,Not Active
2026/09/07 19:21:14.136,74,2418 MHz,[N/A],48.30 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:21:19.137,66,2405 MHz,[N/A],16.30 W,0 %,Not Active,Not Active,Not Active
2026/09/07 19:21:24.138,78,2398 MHz,[N/A],73.65 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:21:29.140,78,2379 MHz,[N/A],71.90 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:21:34.141,78,2366 MHz,[N/A],76.37 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:21:39.142,73,2411 MHz,[N/A],54.66 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:21:44.142,77,2418 MHz,[N/A],56.70 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:21:49.143,77,2418 MHz,[N/A],51.52 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:21:54.143,76,2418 MHz,[N/A],56.83 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:21:59.144,75,2418 MHz,[N/A],51.36 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:22:09.145,76,2392 MHz,[N/A],77.10 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:22:14.146,81,2379 MHz,[N/A],64.03 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:22:19.147,84,2379 MHz,[N/A],76.81 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:22:24.149,79,2379 MHz,[N/A],77.18 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:22:29.149,82,2379 MHz,[N/A],77.23 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:22:34.151,83,2372 MHz,[N/A],77.17 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:22:39.152,80,2392 MHz,[N/A],72.23 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:22:44.154,84,2372 MHz,[N/A],72.32 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:22:49.154,79,2398 MHz,[N/A],62.51 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:22:54.155,77,2418 MHz,[N/A],56.92 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:22:59.155,77,2418 MHz,[N/A],56.90 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:23:04.157,76,2418 MHz,[N/A],56.97 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:23:14.158,74,2424 MHz,[N/A],24.44 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:23:19.160,72,2405 MHz,[N/A],52.53 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:23:24.160,76,2392 MHz,[N/A],72.01 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:23:29.161,77,2379 MHz,[N/A],72.53 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:23:34.162,78,2411 MHz,[N/A],61.32 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:23:39.162,72,2405 MHz,[N/A],63.86 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:23:44.163,81,2411 MHz,[N/A],72.41 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:23:49.164,81,2385 MHz,[N/A],71.40 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:23:54.164,76,2385 MHz,[N/A],75.70 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:23:59.165,76,2411 MHz,[N/A],62.14 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:24:04.166,77,2418 MHz,[N/A],59.65 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:24:09.167,74,2418 MHz,[N/A],56.48 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:24:14.167,77,2418 MHz,[N/A],60.25 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:24:19.168,74,2418 MHz,[N/A],56.05 W,95 %,Not Active,Not Active,Not Active
2026/09/07 19:24:24.169,74,2418 MHz,[N/A],56.05 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:24:29.169,73,2424 MHz,[N/A],51.78 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:51:54.386,77,2385 MHz,[N/A],75.45 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:51:59.387,79,2372 MHz,[N/A],73.63 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:52:04.388,75,2418 MHz,[N/A],50.83 W,95 %,Not Active,Not Active,Not Active
2026/09/07 19:52:09.388,74,2418 MHz,[N/A],50.35 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:52:14.389,73,2418 MHz,[N/A],50.10 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:52:24.390,72,2392 MHz,[N/A],72.59 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:52:29.391,74,2385 MHz,[N/A],76.50 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:52:34.392,74,2392 MHz,[N/A],75.21 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:52:39.393,76,2372 MHz,[N/A],73.58 W,89 %,Not Active,Not Active,Not Active
2026/09/07 19:52:44.395,72,2418 MHz,[N/A],50.40 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:52:49.396,73,2418 MHz,[N/A],50.02 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:52:59.397,79,2398 MHz,[N/A],78.00 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:53:04.398,76,2379 MHz,[N/A],76.55 W,96 %,Not Active,Not Active,Not Active
