timestamp_America_Phoenix,gpu_temp_c,sm_clock,memory_clock,power,utilization,sw_thermal_slowdown,hw_thermal_slowdown,sw_power_cap
2026/09/07 19:20:15.221,76,2470 MHz,[N/A],73.54 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:20:20.223,73,2463 MHz,[N/A],73.18 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:20:25.223,72,2496 MHz,[N/A],48.84 W,95 %,Not Active,Not Active,Not Active
2026/09/07 19:20:30.224,72,2496 MHz,[N/A],48.47 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:20:35.225,72,2496 MHz,[N/A],48.88 W,95 %,Not Active,Not Active,Not Active
2026/09/07 19:20:40.226,74,2463 MHz,[N/A],48.00 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:20:45.226,77,2457 MHz,[N/A],69.00 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:20:50.228,75,2457 MHz,[N/A],73.74 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:20:55.229,75,2463 MHz,[N/A],74.80 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:21:00.230,79,2457 MHz,[N/A],74.20 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:21:05.231,74,2496 MHz,[N/A],47.58 W,95 %,Not Active,Not Active,Not Active
2026/09/07 19:21:10.232,74,2496 MHz,[N/A],49.71 W,95 %,Not Active,Not Active,Not Active
2026/09/07 19:21:15.234,72,2496 MHz,[N/A],45.53 W,95 %,Not Active,Not Active,Not Active
2026/09/07 19:21:20.235,72,2470 MHz,[N/A],69.46 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:21:25.235,72,2457 MHz,[N/A],72.10 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:21:30.236,77,2463 MHz,[N/A],73.94 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:21:35.237,77,2457 MHz,[N/A],73.67 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:21:40.238,73,2489 MHz,[N/A],57.33 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:21:45.240,71,2496 MHz,[N/A],54.24 W,95 %,Not Active,Not Active,Not Active
2026/09/07 19:21:50.240,70,2509 MHz,[N/A],46.94 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:21:55.241,70,2496 MHz,[N/A],53.94 W,95 %,Not Active,Not Active,Not Active
